setup,modality,model_depth,data_split,dropout,pretrained,attention_target,best_val_loss,best_epoch,val_acc,precision,recall,f1_score,specificity
mdepth152_drop0.2_all_no_pretrain,mri_pet_ot_attn,152,all,0.2,no_pretrain,none,0.4610,26,0.8472,0.8625,0.8052,0.8222,0.8052
mdepth152_drop0.2_all_with_pretrain,mri_pet_ot_attn,152,all,0.2,with_pretrain,none,0.3423,30,0.8611,0.8731,0.8244,0.8403,0.8244
mdepth152_drop0.2_balanced_no_pretrain,mri_pet_ot_attn,152,balanced,0.2,no_pretrain,none,0.5027,22,0.7692,0.7758,0.7692,0.7679,0.7692
mdepth152_drop0.2_balanced_with_pretrain,mri_pet_ot_attn,152,balanced,0.2,with_pretrain,none,0.5154,31,0.7885,0.7924,0.7885,0.7878,0.7885
mdepth152_drop0.3_all_no_pretrain,mri_pet_ot_attn,152,all,0.3,no_pretrain,none,0.3931,30,0.8611,0.8474,0.8579,0.8519,0.8579
mdepth152_drop0.3_all_no_pretrain_pet_attn,mri_pet_ot_attn,152,all,0.3,no_pretrain,pet,0.5051,17,0.7778,0.7604,0.7508,0.7549,0.7508
mdepth152_drop0.3_all_with_pretrain,mri_pet_ot_attn,152,all,0.3,with_pretrain,none,0.3565,33,0.8611,0.8542,0.8411,0.8468,0.8411
mdepth152_drop0.3_all_with_pretrain_pet_attn,mri_pet_ot_attn,152,all,0.3,with_pretrain,pet,0.4188,33,0.8194,0.8055,0.8002,0.8027,0.8002
mdepth152_drop0.3_balanced_no_pretrain,mri_pet_ot_attn,152,balanced,0.3,no_pretrain,none,0.5378,28,0.7500,0.7504,0.7500,0.7499,0.7500
mdepth152_drop0.3_balanced_no_pretrain_pet_attn,mri_pet_ot_attn,152,balanced,0.3,no_pretrain,pet,0.5103,44,0.7500,0.7504,0.7500,0.7499,0.7500
mdepth152_drop0.3_balanced_with_pretrain,mri_pet_ot_attn,152,balanced,0.3,with_pretrain,none,0.5091,28,0.7692,0.7708,0.7692,0.7689,0.7692
mdepth152_drop0.3_balanced_with_pretrain_pet_attn,mri_pet_ot_attn,152,balanced,0.3,with_pretrain,pet,0.5176,4,0.7885,0.7889,0.7885,0.7884,0.7885
